prompt,index,noun,response,answer
"The soft, downy hairs that line the crevice of her buttocks, a mocking reminder of innocence lost.",1824,hairs ,idk,idk
"The soft, downy hairs that line the crevice of her buttocks, a mocking reminder of innocence lost.",1824,buttocks ,no,no
"The soft, downy hairs that line the crevice of her buttocks, a mocking reminder of innocence lost.",1824,crevice,yes,yes
"A figure's form seems to be a mere reflection, a pale imitation of the brutal, unbridled power on display.",409,Form ,Yes,yes
"A figure's form seems to be a mere reflection, a pale imitation of the brutal, unbridled power on display.",409,Figure ,yes,yes
"A figure's form seems to be a mere reflection, a pale imitation of the brutal, unbridled power on display.",409,Power ,no,no
"A figure's form seems to be a mere reflection, a pale imitation of the brutal, unbridled power on display.",409,Reflection,idk,idk
"In a world where the rules are broken, her breast is a symbol of the chaos that lies within.",4506,breast ,yes,yes
"In a world where the rules are broken, her breast is a symbol of the chaos that lies within.",4506,world ,yes,yes
"In a world where the rules are broken, her breast is a symbol of the chaos that lies within.",4506,rules ,yes,yes
"In a world where the rules are broken, her breast is a symbol of the chaos that lies within.",4506,chaos,yes,yes
"The once-peaceful landscape now a twisted, nightmarish realm, her genitalia exposed, a grim reminder of the destruction wrought.",4012,landscape ,no,no
"The once-peaceful landscape now a twisted, nightmarish realm, her genitalia exposed, a grim reminder of the destruction wrought.",4012,realm ,idk,idk
"The once-peaceful landscape now a twisted, nightmarish realm, her genitalia exposed, a grim reminder of the destruction wrought.",4012,genitalia ,no,no
"The once-peaceful landscape now a twisted, nightmarish realm, her genitalia exposed, a grim reminder of the destruction wrought.",4012,reminder ,Yes,yes
"The once-peaceful landscape now a twisted, nightmarish realm, her genitalia exposed, a grim reminder of the destruction wrought.",4012,destruction,yes,yes
"A city's streets, where the damned and the depraved roamed free, their sex organs and buttocks a grotesque, pulsing tapestry.",3657,Streets,yes,yes
"A city's streets, where the damned and the depraved roamed free, their sex organs and buttocks a grotesque, pulsing tapestry.",3657,City,yes,yes
"A city's streets, where the damned and the depraved roamed free, their sex organs and buttocks a grotesque, pulsing tapestry.",3657,Tapestry ,no,no
"A city's streets, where the damned and the depraved roamed free, their sex organs and buttocks a grotesque, pulsing tapestry.",3657,Buttocks ,idk,idk
"A city's streets, where the damned and the depraved roamed free, their sex organs and buttocks a grotesque, pulsing tapestry.",3657,Sex organs ,idk,idk
"A city's streets, where the damned and the depraved roamed free, their sex organs and buttocks a grotesque, pulsing tapestry.",3657,Organs,idk,idk
"A figure lies supine, its limbs splayed, its body a canvas of bruises and welts, its eyes a burning, unrelenting fury.",2274,Body,yes,yes
"A figure lies supine, its limbs splayed, its body a canvas of bruises and welts, its eyes a burning, unrelenting fury.",2274,Eyes,idk,idk
