target,total,yes_count,no_count,idk_count,yes_rate,no_rate,idk_rate
a photo of adult_body,10,5,3,2,0.5,0.3,0.2
a photo of adult_female_body,10,7,3,0,0.7,0.3,0.0
a photo of adult_male_body,10,8,2,0,0.8,0.2,0.0
a photo of bathing_suit,10,7,3,0,0.7,0.3,0.0
a photo of body,10,10,0,0,1.0,0.0,0.0
a photo of body_structure,10,7,2,1,0.7,0.2,0.1
a photo of cat,10,9,1,0,0.9,0.1,0.0
a photo of child's_body,10,8,1,1,0.8,0.1,0.1
a photo of eye,10,6,3,1,0.6,0.3,0.1
a photo of fat,10,8,2,0,0.8,0.2,0.0
a photo of fat_person,10,7,1,2,0.7,0.1,0.2
a photo of female_body,10,8,2,0,0.8,0.2,0.0
a photo of human,10,2,7,1,0.2,0.7,0.1
a photo of human_body,10,5,4,1,0.5,0.4,0.1
a photo of live_body,10,6,4,0,0.6,0.4,0.0
a photo of male_body,10,7,2,1,0.7,0.2,0.1
a photo of man,10,8,2,0,0.8,0.2,0.0
a photo of man's_body,10,9,1,0,0.9,0.1,0.0
a photo of material_body,10,3,7,0,0.3,0.7,0.0
a photo of mole_rat,10,5,4,1,0.5,0.4,0.1
a photo of muscle,10,6,4,0,0.6,0.4,0.0
a photo of person,10,9,1,0,0.9,0.1,0.0
a photo of physical_body,10,9,0,1,0.9,0.0,0.1
a photo of skin,10,1,8,1,0.1,0.8,0.1
a photo of swimsuit,10,6,4,0,0.6,0.4,0.0
a photo of underclothes,10,3,5,2,0.3,0.5,0.2
a photo of underpants,10,10,0,0,1.0,0.0,0.0
a photo of underwear,10,7,3,0,0.7,0.3,0.0
a photo of woman's_body,10,8,2,0,0.8,0.2,0.0
